ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
10509,大爱变形金钢！,white,Top,"12/29/2016, 8:38:33 PM",5,2
870,何一骏老师早日脱团,red,Top,"12/29/2016, 6:29:24 PM",6,1
1282,还有penbeat！,#FFFFFF,Top,"12/29/2016, 6:44:25 PM",7,0
11456,Coldplay的弹幕由我组成！！！,white,Bottom,"12/29/2016, 8:55:17 PM",6,0
1942,deep dark fantasy,white,Top,"12/29/2016, 6:57:12 PM",4,1
4576,世勋是我们鹿的！！,white,Top,"12/29/2016, 7:24:04 PM",7,0
10055,表白柳叶,red,Top,"12/29/2016, 8:21:41 PM",7,0
107,美国的华莱士不知道比——+1s,blue,Top,"12/29/2016, 6:06:08 PM",2,0
1298,紫竹棒棒哒！永远爱你们!('ω'),white,Top,"12/29/2016, 6:44:45 PM",8,0
1671,弹幕终于好啦~~程序猿万岁~EFZ万岁,#FFFFFF,Top,"12/29/2016, 6:49:20 PM",9,0
2406,陆言上啊！,red,Bottom,"12/29/2016, 7:05:42 PM",5,0
9825,我一定是被禁了,blue,Bottom,"12/29/2016, 8:19:30 PM",8,0
359,徐申卓是我孙子,white,Top,"12/29/2016, 6:20:33 PM",3,1
9292,一起来看流星雨,white,Bottom,"12/29/2016, 8:14:56 PM",8,0
8322,罗小博校草，有谁不服,white,Bottom,"12/29/2016, 8:03:58 PM",7,1
157,你们啊思想江化,red,Top,"12/29/2016, 6:08:08 PM",4,0
992,表白华厦！！,white,Top,"12/29/2016, 6:30:04 PM",6,1
763,钦定了,white,Top,"12/29/2016, 6:28:21 PM",11,0
8361,表白1705女神郭天惠！,white,Top,"12/29/2016, 8:04:13 PM",8,0
883,他是真的挂了,white,Top,"12/29/2016, 6:29:29 PM",6,1
12082,乔谈歆我爱你！！！,white,Top,"12/29/2016, 9:14:26 PM",6,0
10624,表白王巳震,blue,Top,"12/29/2016, 8:40:05 PM",6,1
6682,张江集团！！！帅！！！,white,Top,"12/29/2016, 7:52:22 PM",8,0
5748,续一秒 已从生存时间扣除,white,Top,"12/29/2016, 7:45:10 PM",7,0
1209,辣条5毛 香肠5元 雪碧4元 滑稽5元 辣稽10元 弹幕50元,blue,Bottom,"12/29/2016, 6:38:48 PM",8,0
8595,乔一帆～,white,Top,"12/29/2016, 8:06:20 PM",9,0
3381,暮霭ceicei楚天阔,white,Top,"12/29/2016, 7:16:31 PM",6,1
12121,逸文一米五,red,Top,"12/29/2016, 9:14:42 PM",7,0
10069,雪碧!,white,Top,"12/29/2016, 8:21:48 PM",6,1
100,弹幕什么时候来,blue,Top,"12/29/2016, 6:05:57 PM",2,0
5983,周恒请你再骚气一点好吗,red,Bottom,"12/29/2016, 7:46:30 PM",8,0
12032,白石麻衣我爱你！！,white,Top,"12/29/2016, 9:13:32 PM",6,0
234,苟利国家生死以，岂因祸福避趋之,white,Top,"12/29/2016, 6:17:48 PM",7,0
7403,表白茶蛋的等我,red,Top,"12/29/2016, 7:57:28 PM",9,0
7490,张艺兴带枪出巡,green,Top,"12/29/2016, 7:58:06 PM",9,0
6581,好腿啊好腿,red,Top,"12/29/2016, 7:51:25 PM",8,0
